Channel,RMS,Sigma,Mean,Rate,PED_Mean,PED_Sigma,P1,P0,P1_err,P0_err,Time,Gain,Gain_err,Rate_err
67,33.00916502538104,14.36529497361517,143.49864303468385,385.9866666666667,83.8,2.1,123.6,0.4,1.4,1.1,628.4981998750001,2.99851552562115,0.0652075655496277,0.8020667747208527
68,28.231534083581334,16.330552785533097,149.74500739357148,653.1133333333333,85.0,1.9,114.3,10.4,8.9,6.4,636.9023226,2.9716211391935414,0.41953900176041337,1.0433226836517178
69,36.79343616564529,16.331276939664296,143.92522469977717,455.4316666666667,78.0,2.1,124.5,4.4,5.3,3.4,653.677565,3.0886156977799786,0.21546547983314707,0.8712363501242231
70,35.49590373157435,15.7718207279112,140.08812014202093,353.76,79.5,2.0,103.0,19.8,25.4,15.5,645.2888522,2.4750072901711726,1.121217953407249,0.7678541528180987
71,34.020682630406085,16.101911627744965,150.86888640142863,526.0933333333334,86.3,2.1,120.8,8.9,8.8,6.5,1037.8755372,2.8802197020606704,0.3963901969153187,0.9363878588609648
72,39.975550338255914,14.705856656266565,135.29155739013433,298.76,74.3,2.0,105.3,20.7,16.6,11.9,641.930145125,2.3914742040678023,0.8006381716724105,0.7056439139773922
73,44.26273092555029,16.225734235094073,139.9723407478476,271.8016666666667,77.5,2.0,128.3,2.6,2.6,1.8,633.5444096,2.91661831390528,0.10578190110718644,0.673054810381575
74,44.35499093015164,18.294118477592825,145.72389845936016,204.82333333333332,77.2,2.0,127.2,-0.7,2.6,1.8,616.75857805,3.401331488765731,0.11255695048912098,0.5842706754768908
75,42.20017923853248,19.1970853139782,152.11834985855145,254.62833333333333,78.3,1.9,128.7,1.5,3.6,2.8,628.504884425,3.511963376969282,0.167783002441358,0.6514449750789053
76,36.80755175801004,17.076126039928464,145.78451034777044,319.85333333333335,81.5,1.9,120.4,2.7,2.5,1.8,638.5751985249999,3.1968703461259564,0.1146530186811572,0.7301293644888479
77,38.65851488132279,15.902573565366758,143.0324272346033,382.635,80.3,1.9,124.3,3.9,2.0,1.5,640.2509388999999,2.9581872101067623,0.08921687171471787,0.7985768591688592
78,42.938039443023264,17.73343352440294,143.53266898003974,231.94333333333333,79.3,2.1,127.1,1.6,4.4,2.2,640.245106775,3.0798912755723715,0.15192915776383625,0.6217493242635831
79,37.855030784110156,16.475464714641284,144.55987261146498,373.50333333333333,78.1,1.9,102.7,19.6,22.8,14.6,974.119892175,2.8517449252352107,1.090999604455852,0.7889902125854006
80,48.67855379440037,18.337933571409796,138.12773833580715,193.32833333333335,81.0,4.3,120.6,1.7,1.5,1.3,938.883146575,2.872498877270271,0.07636138976337567,0.5676388718973436
81,65.26066820111505,21.593460797408586,141.9683529033296,89.3,83.1,2.8,123.0,-0.8,1.8,1.3,620.0717788999999,3.0319285011854467,0.0798607461911187,0.3857892343408941
82,36.356886159550136,15.37478742457537,136.64016836695558,353.6483333333333,81.1,3.4,126.1,1.9,1.4,1.1,620.1201822999999,2.6586126272281714,0.06204177737064813,0.7677329541506531
83,38.25281576745073,14.998383628841484,126.54637673620142,261.06666666666666,83.2,2.7,126.7,-1.6,2.8,2.6,630.176965075,2.2171653875395334,0.13732210234777187,0.6596295256514153
84,36.26359403046745,15.794921873971543,136.2549396915918,387.275,79.7,3.0,122.5,0.2,1.8,1.8,620.1211838999999,2.875252025081214,0.10111643908752095,0.8034042154067486
85,43.33972984220556,17.07204599875208,132.20059828913307,397.6,75.2,2.6,125.0,0.6,3.8,3.6,638.577600375,2.8200299144566534,0.19938801922329205,0.8140434058861152
86,55.79852279391103,21.008098067317228,143.5291926667634,145.58666666666667,76.8,2.9,126.3,5.0,1.6,1.2,638.550465825,3.054690848513629,0.07105475250902794,0.4925895293694786
87,59.152566201538846,16.598992830458965,139.6511616032678,136.15833333333333,86.0,2.6,121.0,4.4,2.3,2.5,1068.072318275,2.5439649588464777,0.13795513657151906,0.476372286720749
88,52.39287382708442,17.33211438916974,142.00811344879693,149.57666666666665,84.7,2.6,120.2,1.2,2.9,2.1,626.8353953999999,2.917435183485697,0.12998350486290935,0.49929394593209764
89,55.522283316627075,14.776528377460414,126.35709285140146,133.81666666666666,78.8,2.9,127.8,0.3,2.1,1.9,616.7581671749999,2.3110863092430294,0.10044457276179924,0.4722581685664926
90,47.0335305843485,17.365744659704,139.11982808729502,195.63666666666666,77.8,2.7,129.9,-2.2,1.4,1.3,616.7587636999999,3.0561888032763194,0.0707754100905452,0.5710176101584881
91,43.17865336143892,17.268577985939448,142.90056384353343,233.54166666666666,83.0,2.6,133.8,-5.1,5.9,5.1,625.1512189749999,3.036274469522301,0.2732907787158658,0.6238878994748264
92,44.998440852168386,17.38535277671093,139.47205156106136,205.08833333333334,81.6,2.6,116.7,-0.2,3.0,3.2,615.0775578249999,3.1101141581545293,0.18914903800488114,0.5846485173921926
93,41.23767838484559,15.820973463156617,137.29130773348908,280.2416666666667,82.1,2.8,129.7,-2.2,4.5,3.1,621.79244045,2.7655795939422267,0.17756481579620806,0.6834247906276479
94,34.885675710865094,15.956723333719935,137.70279016951903,417.2366666666667,79.7,2.7,138.9,-4.2,7.2,6.0,643.608613175,2.7989016454967164,0.30649906101613555,0.8339031385265584
95,54.71582212534194,17.514651992086087,133.79685989322797,164.855,74.8,2.7,122.2,2.9,2.5,2.4,959.010318375,2.8691110829187796,0.13612191085364736,0.5241739533144826
96,49.620021144851606,14.160889192467561,135.10816121367208,225.83,87.7,2.2,120.5,0.5,3.1,2.0,1083.1684309,2.432995913572203,0.12118801020644533,0.6135008829116169
97,57.27726998251298,17.56207112428043,142.53592547400038,149.91166666666666,85.9,1.9,120.2,-1.2,4.7,3.0,610.0524976500001,3.007275659005843,0.19539387785703993,0.4998527560970108
98,50.08064576654122,18.293715817157285,140.43304528327428,153.805,80.8,2.0,122.0,-1.3,2.2,1.3,618.44549225,3.121569942790691,0.08731073379574611,0.5063019520668143
99,31.69610672484907,15.38667902451353,136.1927575444213,713.9383333333334,80.2,2.0,122.2,0.7,1.1,1.0,621.80240225,2.827984735291597,0.05715600695902088,1.090824102329162
100,59.212531187294,18.510763471149655,140.56833128795745,111.785,83.4,2.1,122.8,-1.0,2.0,1.2,620.1053354999999,2.9605217471476712,0.07798538303305526,0.431634490435291
101,58.27745212752634,19.85885237629276,141.23664710905436,128.235,77.7,2.0,123.6,5.2,2.6,1.7,616.7629604,2.9498709096406937,0.10614427642578644,0.46230401252855247
102,43.96416124158349,17.619709015330116,139.98453094627484,209.93166666666667,82.9,2.3,120.9,0.7,2.1,1.5,640.25620465,2.9148330720778968,0.09268018484516857,0.5915117167995162
103,55.593710594716065,12.025475801661687,122.11335077191363,134.62833333333333,83.3,2.1,120.4,4.8,2.7,1.7,891.8965668499999,1.7656432086749188,0.09677338313619008,0.47368824722126635
104,63.747539278223066,19.92044570416869,151.179977675994,94.06166666666667,87.2,1.9,116.6,-0.0,0.7,0.4,628.494132775,3.4294584946394724,0.030406114814624567,0.3959412133694148
105,62.739695584924625,16.928033781640906,131.0377111186009,94.46333333333334,77.6,2.1,123.3,-3.0,1.6,1.1,623.4556857,2.860792331640354,0.06718122907088664,0.39678569642678513
106,49.46225715822182,16.16192835028949,138.05779975595658,161.86833333333334,80.3,2.0,117.3,3.3,1.2,0.9,618.44329765,2.9016304217794433,0.05653425875871011,0.5194040388325408
107,63.978014220195206,22.287357722941834,141.8102655875056,88.335,81.6,2.1,123.4,-3.5,2.8,2.3,618.398011175,3.2268165309717176,0.13776717304863204,0.3836991008589934
108,50.80505691126104,19.395009963374644,146.52466670762425,170.46833333333333,77.1,2.1,118.6,4.6,2.7,2.0,621.7946594499999,3.4161396873748027,0.13106187674887199,0.5330233474144345
109,50.08230511533701,13.866749705448454,130.1816230916163,741.8566666666667,80.8,2.1,120.3,1.9,2.1,1.4,635.222625625,2.4668341173948622,0.08454006722363912,1.1119477405785658
110,57.82197919418828,18.134991402095196,141.63359012817017,103.33333333333333,79.8,2.0,118.3,3.0,1.2,1.0,623.456289025,3.108283502122262,0.061767472539406336,0.4149966532662911
111,48.93644915243266,13.521301156459101,127.24716014551935,230.82166666666666,80.4,2.0,117.4,1.0,2.0,1.4,947.2784635749999,2.4407559702682784,0.08538956837098821,0.6202441275641212
112,35.68982737569022,20.697076503039337,143.27778823116196,543.7766666666666,72.4,2.3,124.9,2.2,1.9,1.3,1128.47288805,3.4366387225361263,0.08349509936375472,0.9519949813126352
113,29.270126701333787,17.39461669133141,135.4102218865281,616.1366666666667,77.7,2.2,129.6,-2.6,2.7,2.9,635.2242427499999,2.908479064743832,0.1524281368134885,1.0133580040856462
114,36.918881027893086,16.66676661882717,130.63009256782064,317.74333333333334,71.7,2.4,119.8,0.5,0.6,0.5,640.2460427249999,3.0483145120941484,0.03035593542876255,0.7277171306367758
115,38.90388074720085,17.95223152114173,133.59751021049325,260.355,78.0,2.2,118.8,-0.4,5.6,5.7,640.251356325,2.9459969597271285,0.3304848088268248,0.6587298384011461
116,41.73349726134268,19.921540450781812,138.36979892367282,268.255,75.1,2.4,116.4,3.0,3.1,2.4,635.217946525,3.236136110592398,0.15507652153036394,0.6686491356957449
117,31.46594472657766,17.931808479977544,134.0207209894674,588.2916666666666,70.5,2.4,122.8,2.2,1.5,1.8,660.38974915,3.120965034073056,0.09925164091097954,0.9901949864098035
118,35.534706493596794,16.076529742941222,123.03740844192431,564.6083333333333,68.8,2.5,121.5,0.3,4.1,3.0,662.0665783999999,2.7745580474240907,0.1805132765829669,0.9700587038364682
119,43.42544966830635,15.42035176587987,121.68528093365586,297.255,70.7,2.3,122.3,2.2,2.2,2.2,1282.823293975,2.4931153379832307,0.12107211421171564,0.7038643335188962
120,40.68727080718872,16.672904479637687,126.78531362218553,260.31333333333333,71.3,2.5,118.7,1.3,1.8,1.0,650.32136105,2.8530599000729535,0.06822143915341959,0.6586771254230372
121,45.11687254734874,20.888942869094343,137.28894940943132,232.59833333333333,68.6,2.5,119.9,1.5,1.7,1.3,641.929594625,3.5023430676309073,0.08411342714598134,0.6226266047069374
122,29.096352256649613,16.01768317911874,127.3617117897388,718.8016666666666,69.7,2.4,121.0,2.6,1.7,1.4,646.966766675,2.8440966833542767,0.08263882060486867,1.0945331323344112
123,34.753755897233304,18.22047926379962,136.94072107147022,378.0833333333333,73.7,2.3,115.9,1.4,7.6,6.4,640.2472145749999,3.3348102389705683,0.40858182853839964,0.7938128802739907
124,32.74029599621096,16.000547569626885,128.69953761068632,447.5183333333333,68.9,2.5,121.3,-1.5,4.4,3.6,646.965840975,3.1584675190996663,0.21803196431870667,0.8636341174877755
125,30.729445083259794,16.364407631236478,133.7125020085256,713.4383333333334,73.7,2.3,119.6,3.0,0.8,0.9,640.25502925,2.9793322537900084,0.05111322908074961,1.0904420612251202
126,40.85553311264285,20.50394965497502,138.1033907485646,316.47333333333336,67.5,2.3,119.3,0.6,2.0,1.9,670.44970255,3.667403119685908,0.11704810241854116,0.7262613548548178
127,30.240839268221002,13.447028271218912,124.8704032970873,655.22,77.3,2.4,126.4,-3.0,3.5,4.2,1177.1236881999998,2.5005144035347753,0.21891732359960298,1.0450039872332226
