GCUId	Chn	Mean_Ping_HG	Mean_Pong_HG	RMS_Ping_HG	RMS_Pong_HG	Mean_Ping_LG	Mean_Pong_LG	RMS_Ping_LG	RMS_Pong_LG	Length	x	y	z
8045	95	78.2792	76.1399	2.34635	2.33224	0	0	0	0	0	0	0	0
8045	96	74.8315	72.278	2.22477	2.22317	0	0	0	0	0	0	0	0
8045	97	74.7525	78.7635	2.27868	2.25681	0	0	0	0	0	0	0	0
8045	98	82.5881	74.5591	2.16927	2.23328	0	0	0	0	0	0	0	0
8045	99	78.2371	75.2127	2.25566	2.2826	0	0	0	0	0	0	0	0
8045	100	82.878	79.9537	2.27022	2.28609	0	0	0	0	0	0	0	0
8045	101	79.6143	85.0932	2.24991	2.21506	0	0	0	0	0	0	0	0
8045	102	75.5001	74.5857	2.2315	2.236	0	0	0	0	0	0	0	0
8045	103	79.7134	75.9647	2.23054	2.2146	0	0	0	0	0	0	0	0
8045	104	77.9742	80.3944	2.26122	2.25375	0	0	0	0	0	0	0	0
8045	105	80.7579	81.2294	2.27091	2.26178	0	0	0	0	0	0	0	0
8045	106	72.979	79.7551	2.23336	2.20716	0	0	0	0	0	0	0	0
8045	107	77.3765	74.4078	2.23353	2.22986	0	0	0	0	0	0	0	0
8045	108	78.7239	76.4267	2.30765	2.29157	0	0	0	0	0	0	0	0
8045	109	80.2614	81.3482	2.25123	2.24678	0	0	0	0	0	0	0	0
8045	110	79.676	86.2783	2.2429	2.2412	0	0	0	0	0	0	0	0
8045	111	79.339	71.242	2.27793	2.29183	0	0	0	0	0	0	0	0
8045	112	80.0173	80.9037	2.23287	2.25736	0	0	0	0	0	0	0	0
8045	113	77.587	77.2437	2.27094	2.3087	0	0	0	0	0	0	0	0
8045	114	76.889	79.2286	2.26479	2.28076	0	0	0	0	0	0	0	0
8045	115	75.8897	70.7776	2.20046	2.20101	0	0	0	0	0	0	0	0
8045	116	72.5086	77.0717	2.20296	2.21377	0	0	0	0	0	0	0	0
8045	117	69.561	71.1405	2.18719	2.1912	0	0	0	0	0	0	0	0
8045	118	69.7684	75.7376	2.3513	2.34496	0	0	0	0	0	0	0	0
8045	119	74.371	73.7985	2.22126	2.24899	0	0	0	0	0	0	0	0
8045	120	76.8761	81.589	2.27671	2.26999	0	0	0	0	0	0	0	0
8045	121	72.267	75.6587	2.22832	2.22963	0	0	0	0	0	0	0	0
8045	122	71.9052	69.9492	2.32765	2.33717	0	0	0	0	0	0	0	0
8045	123	78.1502	75.1195	2.2095	2.21915	0	0	0	0	0	0	0	0
8045	124	78.2181	75.4825	2.14763	2.16583	0	0	0	0	0	0	0	0
8045	125	77.0625	79.8867	2.17394	2.22312	0	0	0	0	0	0	0	0
8045	126	77.0111	69.3309	2.24874	2.27895	0	0	0	0	0	0	0	0
8045	127	69.6123	70.8086	2.31562	2.35453	0	0	0	0	0	0	0	0
8177	0	76.6122	82.0568	2.66749	2.6745	0	0	0	0	0	0	0	0
8177	1	81.8289	82.1617	2.6215	2.62093	0	0	0	0	0	0	0	0
8177	2	77.2723	84.8919	2.61443	2.57367	0	0	0	0	0	0	0	0
8177	3	95.4065	92.3812	2.66685	2.64478	0	0	0	0	0	0	0	0
8177	4	78.6891	76.6743	2.71102	2.64881	0	0	0	0	0	0	0	0
8177	5	78.8016	77.8917	2.65024	2.63082	0	0	0	0	0	0	0	0
8177	6	80.8373	82.9836	2.60213	2.58022	0	0	0	0	0	0	0	0
8177	7	82.2946	89.1578	2.58911	2.58453	0	0	0	0	0	0	0	0
8177	8	84.2276	84.0207	2.62969	2.6028	0	0	0	0	0	0	0	0
8177	9	88.6072	81.8593	2.67222	2.64496	0	0	0	0	0	0	0	0
8177	10	81.0632	87.712	2.65264	2.62414	0	0	0	0	0	0	0	0
8177	11	85.3317	84.4243	2.5595	2.58281	0	0	0	0	0	0	0	0
8177	12	85.8121	87.3005	2.62342	2.64742	0	0	0	0	0	0	0	0
8177	13	82.4777	86.8841	2.58127	2.55713	0	0	0	0	0	0	0	0
8177	14	81.0313	81.3177	2.60468	2.59683	0	0	0	0	0	0	0	0
8177	15	81.5288	77.2339	2.62465	2.62202	0	0	0	0	0	0	0	0
8177	16	78.4754	79.4321	2.68223	2.70484	0	0	0	0	0	0	0	0
8177	17	83.095	79.3364	2.76588	2.80409	0	0	0	0	0	0	0	0
8177	18	76.1079	78.7983	2.72873	2.71916	0	0	0	0	0	0	0	0
8177	19	78.6755	83.9332	2.79745	2.75826	0	0	0	0	0	0	0	0
8177	20	83.5758	85.2647	2.67388	2.65603	0	0	0	0	0	0	0	0
8177	21	86.292	80.4295	2.72351	2.78174	0	0	0	0	0	0	0	0
8177	22	73.5638	74.9822	2.79936	2.81743	0	0	0	0	0	0	0	0
8177	23	82.2362	71.9066	2.76361	2.73499	0	0	0	0	0	0	0	0
8177	24	75.6064	83.1599	2.67068	2.683	0	0	0	0	0	0	0	0
8177	25	77.433	71.4305	2.7838	2.77619	0	0	0	0	0	0	0	0
8177	26	75.8894	76.0271	2.62298	2.66462	0	0	0	0	0	0	0	0
8177	27	76.0353	76.4186	2.7298	2.72291	0	0	0	0	0	0	0	0
8177	28	74.1934	81.0534	2.72113	2.76553	0	0	0	0	0	0	0	0
8177	29	67.7988	66.7018	2.77838	2.78136	0	0	0	0	0	0	0	0
8177	30	77.2925	82.3239	2.6834	2.68029	0	0	0	0	0	0	0	0
8177	31	69.4515	71.9113	2.71293	2.70518	0	0	0	0	0	0	0	0
8177	32	84.149	71.7214	3.2785	3.33854	0	0	0	0	0	0	0	0
8177	33	84.1539	78.4334	2.96373	3.04983	0	0	0	0	0	0	0	0
8177	34	86.0138	89.7612	2.99065	3.08496	0	0	0	0	0	0	0	0
8177	35	78.6898	81.9338	3.03331	3.00635	0	0	0	0	0	0	0	0
8177	36	86.6954	79.095	2.98051	3.02679	0	0	0	0	0	0	0	0
8177	37	76.5609	76.5197	2.90098	2.90787	0	0	0	0	0	0	0	0
8177	38	75.5158	80.3084	2.95558	2.93852	0	0	0	0	0	0	0	0
8177	39	77.8965	83.7437	2.94741	2.91127	0	0	0	0	0	0	0	0
8177	40	75.3499	77.5703	3.00394	3.02716	0	0	0	0	0	0	0	0
8177	41	83.891	76.0869	2.86581	2.90123	0	0	0	0	0	0	0	0
8177	42	82.6007	80.7558	3.05611	3.11472	0	0	0	0	0	0	0	0
8177	43	76.7773	81.3848	2.92974	2.89287	0	0	0	0	0	0	0	0
8177	44	86.8149	84.9445	3.04637	3.04047	0	0	0	0	0	0	0	0
8177	45	78.0598	82.129	2.91559	2.8822	0	0	0	0	0	0	0	0
8177	46	76.1831	76.3152	2.9384	2.94148	0	0	0	0	0	0	0	0
8177	47	75.7284	74.037	3.04432	3.04988	0	0	0	0	0	0	0	0
8177	48	75.1328	77.7186	2.71847	2.70855	0	0	0	0	0	0	0	0
8177	49	78.2548	76.7441	2.48315	2.4456	0	0	0	0	0	0	0	0
8177	50	77.0588	75.0749	2.86633	2.8554	0	0	0	0	0	0	0	0
8177	51	66.5334	71.2243	2.42702	2.44273	0	0	0	0	0	0	0	0
8177	52	66.2485	68.3584	2.43968	2.43721	0	0	0	0	0	0	0	0
8177	53	72.0584	70.6675	2.53143	2.5544	0	0	0	0	0	0	0	0
8177	54	74.7945	75.1156	2.42899	2.46579	0	0	0	0	0	0	0	0
8177	55	69.8603	71.889	2.41826	2.37473	0	0	0	0	0	0	0	0
8177	56	76.9143	74.5007	2.39985	2.40695	0	0	0	0	0	0	0	0
8177	57	72.6985	75.3158	2.45087	2.44147	0	0	0	0	0	0	0	0
8177	58	77.7395	73.2069	2.44787	2.50874	0	0	0	0	0	0	0	0
8177	59	70.7001	70.2013	2.59379	2.60391	0	0	0	0	0	0	0	0
8177	60	69.4549	72.7939	2.77388	2.77731	0	0	0	0	0	0	0	0
