GCUId	Chn	Mean_Ping	Mean_Pong	RMS_Ping	RMS_Pong	Length	x	y	z
8180	72	65.8313	75.3754	2.66168	2.63765	10	-360.045	19304.4	1717.25
8180	73	75.5518	76.9434	2.34812	2.32965	10	-3665.56	18978.8	1452.34
8180	74	67.3661	69.787	3.24539	3.24102	10	-5030.31	18719.7	95.7141
8180	75	69.8993	71.9063	2.57236	2.59845	10	-2853.64	19172.6	95.7141
8180	76	69.5864	71.5406	2.55536	2.55114	10	-639.329	19370.2	357.496
8180	77	69.2643	74.0341	2.65019	2.63378	10	-3402.46	19082.8	95.7141
8180	78	72.0488	72.0367	2.87311	2.88883	10	-5808.16	18413.5	1717.25
8180	79	70.6533	75.8931	2.73158	2.72378	10	-1747.11	19279.2	1000.63
8180	80	61.0473	58.9871	4.18548	4.16504	10	-2835.74	19052.3	2170.08
8180	81	61.6105	58.9096	3.4671	3.48672	10	-6830.76	17987.3	2353.24
8180	82	59.9416	60.1132	3.34686	3.34515	10	-6066.22	18311.7	1903.16
8180	83	63.8296	62.4031	2.8792	2.89104	10	-3386.06	18990.8	1903.16
8180	84	59.5609	64.4522	3.13122	3.0745	10	-4469.6	18765.4	1903.16
8180	85	59.9368	62.9894	2.74389	2.71087	10	-1189.16	19253.7	1903.16
8180	86	61.0791	60.2818	2.66679	2.67915	10	-6579.39	18103.6	2170.08
8180	87	61.0158	63.9755	2.67868	2.63533	10	-3381.11	18963.1	2170.08
8180	88	59.6971	57.779	2.7085	2.71903	10	-7096.01	17907.5	2170.08
8180	89	61.4306	59.5641	2.57511	2.60009	10	-5538.43	18478.2	1903.16
8180	90	54.7047	58.0572	3.63694	3.62595	10	-2018.21	19202	1717.25
8180	91	59.7549	62.2537	3.28732	3.27952	10	-910.494	19219.1	2353.24
8180	92	59.2373	61.645	2.70957	2.70607	10	-6057.35	18284.9	2170.08
8180	93	58.1425	56.2349	2.85759	2.87527	10	-7106.4	17933.7	1903.16
8180	94	63.4866	65.8657	2.90885	2.89534	10	-1740.99	19211.6	1903.16
8180	95	54.8882	59.2785	2.9228	2.90987	10	-5787.96	18349.4	2353.24
8180	96	78.8697	74.2311	2.37822	2.40664	5	-2253.58	18837.8	3974.75
8180	97	80.2355	78.2948	2.42356	2.41247	5	-5733.86	18177.9	3524.99
8180	98	74.9379	77.2439	2.60072	2.57975	5	-5176.07	18215.4	4141.1
8180	99	79.035	80.8955	2.43889	2.44137	5	-4923.48	18322.1	3974.75
8180	100	81.8636	80.6742	2.43708	2.42626	5	-3330.2	18677.5	3974.75
8180	101	73.7867	74.0398	2.4087	2.41436	5	-1992.39	18956.4	3524.99
8180	102	71.8874	68.3457	2.41903	2.41995	5	-1979.4	18832.8	4141.1
8180	103	78.7158	77.9406	2.44038	2.45334	5	-5447.05	18173.3	3974.75
8180	104	71.4842	75.7517	2.50452	2.50967	5	-5983.81	18063	3696.36
8180	105	72.382	75.9568	2.41408	2.38287	5	-2801.31	18821	3696.36
8180	106	80.6641	78.5694	2.50589	2.49198	5	-1712.26	18894.7	3974.75
8180	107	73.2567	75.7301	2.45883	2.46949	5	-6480.32	17831	3974.75
8180	108	70.3765	72.7395	2.54065	2.51551	5	-3340.07	18732.9	3696.36
8180	109	78.0874	76.1133	2.47879	2.48611	5	-4938.07	18376.4	3696.36
8180	110	70.213	75.4037	2.48712	2.50623	5	-1438.34	18881.8	4141.1
8180	111	74.4815	75.079	2.54679	2.56212	5	-2793.04	18765.4	3974.75
8180	112	57.4404	61.5344	2.27671	2.24757	5	-1997.5	19004.9	3249.89
8180	113	64.4925	64.9266	2.13365	2.16729	5	-2541.86	18939.8	3249.89
8180	114	55.5479	60.4717	2.2761	2.2777	5	-3642.1	18857.3	2622.4
8180	115	57.9578	62.6712	2.16359	2.15013	5	-3366.77	18882.6	2802.04
8180	116	64.5014	63.7331	2.15706	2.16766	5	-3084.13	18859.1	3249.89
8180	117	59.3238	64.2603	2.27809	2.24242	5	-3623.86	18762.9	3249.89
8180	118	63.9954	62.8392	2.12014	2.13404	5	-3099.65	18954	2622.4
8180	119	56.5167	55.1551	2.26557	2.25986	5	-4717.56	18617.4	2622.4
8180	120	59.8083	63.6914	2.21136	2.22546	5	-4966.67	18482.8	3075.24
8180	121	65.7286	65.6002	2.33902	2.33136	5	-5210.04	18334.9	3524.99
8180	122	63.6063	60.5928	2.1587	2.18431	5	-3105.27	18988.4	2353.24
8180	123	62.1777	60.86	2.18284	2.21381	5	-2817.53	18930	3075.24
8180	124	54.6822	58.3546	2.25544	2.2652	5	-3359.41	18841.4	3075.24
8180	125	58.0322	63.5227	2.25032	2.23399	5	-2535.37	18891.4	3524.99
8180	126	53.8103	59.4962	2.19103	2.19239	5	-2554.65	19035.1	2622.4
8180	127	60.0198	63.8679	2.21396	2.2177	5	-2823.7	18971.4	2802.04
8156	0	67.0229	68.0972	3.96804	3.94608	10	2302.11	-19243.5	-357.496
8156	1	62.169	66.2553	3.27357	3.25498	10	2302.48	-19246.5	-95.7138
8156	2	71.847	68.8006	2.8478	2.83503	10	5825.99	-18470	-810.711
8156	3	64.9089	62.4462	3.08711	3.10025	10	7139.68	-18017.7	-357.496
8156	4	70.7303	67.1799	2.7076	2.73464	10	3401.92	-19079.8	-357.496
8156	5	64.9714	68.8142	2.90862	2.88763	10	5030.31	-18719.7	-95.7138
8156	6	62.6146	66.0162	3.15212	3.13916	10	4759.42	-18782.6	-548.472
8156	7	72.5613	68.0978	3.69177	3.64389	10	361.321	-19372.9	-548.472
